group_type,group,resolution_px,strict_diagnostic_AP
scale,tiny,800,0.1235
scale,tiny,960,0.1358
scale,tiny,1280,0.1414
scale,small,800,0.1608
scale,small,960,0.1676
scale,small,1280,0.1738
scale,medium,800,0.2501
scale,medium,960,0.2695
scale,medium,1280,0.2521
scale,large,800,0.3957
scale,large,960,0.3579
scale,large,1280,0.4472
density,low,800,0.086
density,low,960,0.0762
density,low,1280,0.075
density,medium,800,0.1476
density,medium,960,0.1344
density,medium,1280,0.146
density,high,800,0.2299
density,high,960,0.2622
density,high,1280,0.2593
density,ultra-high,800,0.294
density,ultra-high,960,0.317
density,ultra-high,1280,0.317
