density_group,resolution_px,TP,FN,FP,recall,precision
low,800,6907,189,1701,0.9734,0.8024
low,960,6890,206,1629,0.971,0.8088
low,1280,6915,181,1472,0.9745,0.8245
medium,800,11896,404,1766,0.9672,0.8707
medium,960,11821,479,1664,0.9611,0.8766
medium,1280,11839,461,1451,0.9625,0.8908
high,800,17303,621,2679,0.9654,0.8659
high,960,17356,568,2291,0.9683,0.8834
high,1280,17385,539,2068,0.9699,0.8937
ultra_high,800,26399,893,3944,0.9673,0.87
ultra_high,960,26612,680,3579,0.9751,0.8815
ultra_high,1280,26605,687,3079,0.9748,0.8963
